kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PE-38,-8.0680052,-79.0567126,Consolidado,green,new,,,,
PE-4,-8.0484010,-79.0659521,Consolidado,green,new,,,,
PE-42,-8.0677612,-79.0507251,Consolidado,green,new,,,,
PE-44,-8.0742710,-79.0480679,Consolidado,green,new,,,,
PE-48,-8.0732827,-79.0532398,Consolidado,green,new,,,,
PE-60,-8.0627464,-79.0491893,Consolidado,green,new,,,,
PE-67,-8.0555369,-79.0480820,Consolidado,green,new,,,,
PE-68,-8.0559167,-79.0497489,Consolidado,green,new,,,,
PE-69,-8.0565957,-79.0515199,Consolidado,green,new,,,,
PE-72,-8.0614137,-79.0489176,Consolidado,green,new,,,,
PE-73,-8.0621145,-79.0517523,Consolidado,green,new,,,,
PE-76,-8.0658787,-79.0447687,Consolidado,green,new,,,,
PE-78,-8.0669380,-79.0454769,Consolidado,green,new,,,,
PE-79,-8.0687889,-79.0445976,Consolidado,green,new,,,,
PE-81,-8.0721117,-79.0415496,Consolidado,green,new,,,,
PE-82,-8.0737142,-79.0423665,Consolidado,green,new,,,,
PE-88,-8.0759611,-79.0568656,Consolidado,green,new,,,,
PE-97,-8.0726609,-79.0605818,Consolidado,green,new,,,,
PFM-10,-8.0803621,-79.0245885,Consolidado,green,new,,,,
PFM-68,-8.0830030,-79.0304228,Consolidado,green,new,,,,
PFM-84,-8.0797966,-79.0308157,Consolidado,green,new,,,,
PFM-86,-8.0761374,-79.0280604,Consolidado,green,new,,,,
PFM-9,-8.0804396,-79.0245255,Consolidado,green,new,,,,
PFM-98,-8.0709439,-79.0263426,Consolidado,green,new,,,,
PH-100,-8.0364956,-79.0670920,Consolidado,green,new,,,,
PH-101,-8.0053188,-79.0709029,Consolidado,green,new,,,,
PH-102,-7.9929843,-79.0747991,Consolidado,green,new,,,,
PH-103,-7.9975336,-79.0733612,Consolidado,green,new,,,,
PH-109,-8.0159950,-79.0673078,Consolidado,green,new,,,,
PH-11,-8.0812524,-79.1226920,Consolidado,green,new,,,,
PH-110,-8.0196706,-79.0661602,Consolidado,green,new,,,,
PH-112,-8.0273704,-79.0636536,Consolidado,green,new,,,,
PH-113,-8.0306138,-79.0626536,Consolidado,green,new,,,,
PH-116,-8.0425310,-79.0587534,Consolidado,green,new,,,,
PH-117,-8.0153774,-79.0691328,Consolidado,green,new,,,,
PH-118,-8.0162457,-79.0720972,Consolidado,green,new,,,,
PH-125,-8.0373568,-79.0695006,Consolidado,green,new,,,,
PH-128,-8.0155533,-79.0673739,Consolidado,green,new,,,,
PH-131,-8.0269626,-79.0636060,Consolidado,green,new,,,,
PH-132,-8.0304715,-79.0624792,Consolidado,green,new,,,,
PH-135,-8.0421470,-79.0586570,Consolidado,green,new,,,,
PH-136,-7.9929158,-79.0745783,Consolidado,green,new,,,,
PH-137,-7.9976500,-79.0730719,Consolidado,green,new,,,,
PH-144,-8.0323716,-79.0663938,Consolidado,green,new,,,,
PH-146,-8.0348911,-79.0691141,Consolidado,green,new,,,,
PH-148,-8.0381761,-79.0718674,Consolidado,green,new,,,,
PH-149,-8.0380713,-79.0717600,Consolidado,green,new,,,,
PH-15,-8.0975252,-79.1106729,Consolidado,green,new,,,,
PH-150,-8.0373015,-79.0695985,Consolidado,green,new,,,,
PH-151,-8.0364951,-79.0668594,Consolidado,green,new,,,,
PH-154,-8.0419891,-79.0755401,Consolidado,green,new,,,,
PH-162,-8.0297127,-79.0589251,Consolidado,green,new,,,,
PH-163,-8.0297431,-79.0590476,Consolidado,green,new,,,,
PH-167,-8.0928578,-79.0545901,Consolidado,green,new,,,,
PH-17,-8.0868799,-79.1000869,Consolidado,green,new,,,,
PH-19,-8.0707524,-79.1130563,Consolidado,green,new,,,,
PH-23,-8.0990953,-79.1093556,Consolidado,green,new,,,,
PH-24,-8.1009414,-79.1067659,Consolidado,green,new,,,,
PH-25,-8.0867295,-79.1001045,Consolidado,green,new,,,,
PH-27,-8.0972975,-79.1105261,Consolidado,green,new,,,,
PH-3,-8.0827213,-79.1134901,Consolidado,green,new,,,,
PH-31,-8.0838447,-79.1230144,Consolidado,green,new,,,,
PH-32,-8.0819735,-79.1223416,Consolidado,green,new,,,,
PH-39,-8.0785497,-79.1164473,Consolidado,green,new,,,,
PH-44,-8.0670427,-79.1119697,Consolidado,green,new,,,,
PH-45,-8.1009844,-79.1065686,Consolidado,green,new,,,,
