trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
19959184,07:16:00,07:16:00,FEVI-216,51,0,0
19959184,07:17:00,07:17:00,AMN-34,52,0,0
19959184,07:18:00,07:18:00,TEVA-339,53,0,0
19959184,07:19:00,07:19:00,TEVA-340,54,0,0
19959184,07:20:00,07:20:00,TUPAT-122,55,0,0
19959184,07:21:00,07:21:00,PACALS-90,56,0,0
19959184,07:22:00,07:22:00,PACALS-89,57,0,0
19959184,07:24:00,07:24:00,AMEO-84,58,0,0
19959184,07:25:00,07:25:00,AMEO-86,59,0,0
19959184,07:26:00,07:26:00,AMEO-68,60,0,0
19959184,07:27:00,07:27:00,AMEO-70,61,0,0
19959184,07:28:00,07:28:00,AMEO-71,62,0,0
19959184,07:29:00,07:29:00,AMEO-74,63,0,0
19959184,07:30:00,07:30:00,AMEO-75,64,0,0
19959184,07:31:00,07:31:00,AMEO-79,65,0,0
19959184,07:32:00,07:32:00,AMEO-80,66,0,0
19959184,07:33:00,07:33:00,JPT-133,67,0,0
19959184,07:34:00,07:34:00,JPT-132,68,0,0
19959184,07:38:00,07:38:00,PVL-21,69,0,0
19959184,07:39:00,07:39:00,SYNTH_END_19959184,70,1,0
19959196,06:00:00,06:00:00,SYNTH_START_19959196,1,0,1
19959196,06:01:00,06:01:00,PT-160,2,0,0
19959196,06:02:00,06:02:00,VLHT-98,3,0,0
19959196,06:03:00,06:03:00,AMS-44,4,0,0
19959196,06:05:00,06:05:00,AMEO-78,5,0,0
19959196,06:06:00,06:06:00,AMEO-77,6,0,0
19959196,06:07:00,06:07:00,AMEO-76,7,0,0
19959196,06:08:00,06:08:00,AMEO-73,8,0,0
19959196,06:09:00,06:09:00,AMEO-72,9,0,0
19959196,06:10:00,06:10:00,AMEO-69,10,0,0
19959196,06:11:00,06:11:00,AMEO-67,11,0,0
19959196,06:12:00,06:12:00,AMEO-83,12,0,0
19959196,06:13:00,06:13:00,AMEO-85,13,0,0
19959196,06:14:00,06:14:00,AMEO-82,14,0,0
19959196,06:15:00,06:15:00,PACALS-87,15,0,0
19959196,06:16:00,06:16:00,PACALS-88,16,0,0
19959196,06:17:00,06:17:00,TUPAT-121,17,0,0
19959196,06:19:00,06:19:00,TEVA-338,18,0,0
19959196,06:20:00,06:20:00,AMN-35,19,0,0
19959196,06:23:00,06:23:00,FEVI-219,20,0,0
19959196,06:24:00,06:24:00,FEVI-220,21,0,0
19959196,06:25:00,06:25:00,FEVI-222,22,0,0
19959196,06:26:00,06:26:00,FEVI-224,23,0,0
19959196,06:27:00,06:27:00,FEVI-226,24,0,0
19959196,06:28:00,06:28:00,FEVI-213,25,0,0
19959196,06:30:00,06:30:00,FEVI-212,26,0,0
19959196,06:33:00,06:33:00,SB-530,27,0,0
19959196,06:34:00,06:34:00,HOND-316,28,0,0
19959196,06:35:00,06:35:00,GUZBA-459,29,0,0
19959196,06:38:00,06:38:00,RIP-324,30,0,0
19959196,06:43:00,06:43:00,JOSA-520,31,0,0
19959196,06:44:00,06:44:00,EGR-266,32,0,0
19959196,06:45:00,06:45:00,ESP-8,33,0,0
19959196,06:46:00,06:46:00,ESP-10,34,0,0
19959196,06:47:00,06:47:00,ESP-12,35,0,0
19959196,06:48:00,06:48:00,ESP-14,36,0,0
19959196,06:49:00,06:49:00,AGR-523,37,0,0
