nombre,lat,lon,capa,fid,elaborado,supervisor
PAT-40,-8.053878207999958,-79.00903499699996,Consolidado,977,,
PAT-41,-8.053940072999978,-79.00895348399996,Consolidado,978,,
PAT-42,-8.05729579399997,-79.01002964199995,Consolidado,979,,
PAT-43,-8.05730843699996,-79.00997471599999,Consolidado,980,,
PAT-44,-8.05908326399998,-79.00802978799999,Consolidado,981,,
PAT-45,-8.059073571999932,-79.00796812899995,Consolidado,982,,
PAT-46,-8.065606698999943,-79.01195133499994,Consolidado,983,,
PAT-47,-8.065517671999942,-79.01197589099996,Consolidado,984,,
PAT-48,-8.063631015999931,-79.01088111099995,Consolidado,985,,
PAT-49,-8.063565638999933,-79.01080149499995,Consolidado,986,,
PAT-5,-8.06304146499997,-79.00756391899995,Consolidado,942,,
PAT-50,-8.060701854999934,-79.01040781799998,Consolidado,987,,
PAT-51,-8.060734095999976,-79.01033596999997,Consolidado,988,,
PAT-52,-8.05966603099995,-79.01269414599994,Consolidado,989,,
PAT-53,-8.059755094999957,-79.01275724899995,Consolidado,990,,
PAT-54,-8.059433952999939,-79.01040088299999,Consolidado,991,,
PAT-55,-8.059347781999975,-79.01037682999998,Consolidado,992,,
PAT-56,-8.060040318999938,-79.00833116099994,Consolidado,993,,
PAT-57,-8.059968088999938,-79.00830561399994,Consolidado,994,,
PAT-58,-8.057828944999926,-79.01217474099997,Consolidado,995,,
PAT-59,-8.057903297999928,-79.01215927799996,Consolidado,996,,
PAT-6,-8.06129088299997,-79.00665610099998,Consolidado,943,,
PAT-60,-8.061361192999925,-79.01444596199997,Consolidado,997,,
PAT-61,-8.061354311999935,-79.01449970699997,Consolidado,998,,
PAT-62,-8.060905951999928,-79.02311118599994,Consolidado,999,,
PAT-63,-8.061014322999938,-79.02304459699997,Consolidado,1000,,
PAT-64,-8.069072736999942,-79.02150285099998,Consolidado,1001,,
PAT-65,-8.068996761999927,-79.02160755099999,Consolidado,1002,,
PAT-66,-8.069567248999931,-79.02597979599994,Consolidado,1003,,
PAT-67,-8.06550434299993,-79.02654472199998,Consolidado,1004,,
PAT-68,-8.061843880999959,-79.02560772599998,Consolidado,1005,,
PAT-69,-8.058157293999955,-79.02316875699995,Consolidado,1006,,
PAT-7,-8.06075878799993,-79.00837496499997,Consolidado,944,,
PAT-70,-8.067409316999942,-79.01546614099993,Consolidado,1007,,
PAT-71,-8.063673058999939,-79.01617686899993,Consolidado,1008,,
PAT-72,-8.069799179999961,-79.02581330499999,Consolidado,1009,,
PAT-73,-8.065406119999977,-79.02642280499998,Consolidado,1010,,
PAT-74,-8.06188900099994,-79.02549890199998,Consolidado,1011,,
PAT-75,-8.066163982999967,-79.01495507299995,Consolidado,1012,,
PAT-76,-8.06736319199996,-79.01554606299999,Consolidado,1013,,
PAT-77,-8.063676287999954,-79.01623707199997,Consolidado,1014,,
PAT-78,-8.068163847999926,-79.02056861899996,Consolidado,1015,,
PAT-79,-8.068111690999956,-79.02048376399995,Consolidado,1016,,
PAT-8,-8.064516799999979,-79.00341896099997,Consolidado,945,,
PAT-80,-8.068292991999954,-79.01769741999993,Consolidado,1017,,
PAT-81,-8.067219948999934,-79.02036476799998,Consolidado,1018,,
PAT-82,-8.066793339999947,-79.01829068999996,Consolidado,1019,,
PAT-83,-8.06808151499996,-79.01781359699999,Consolidado,1020,,
PAT-84,-8.067117024999959,-79.02039824399998,Consolidado,1021,,
PAT-85,-8.066719365999973,-79.01831351299995,Consolidado,1022,,
PAT-86,-8.06971443699996,-79.02783714799995,Consolidado,1023,,
PAT-87,-8.069769212999972,-79.02787294099994,Consolidado,1024,,
PAT-88,-8.06692628899998,-79.02837084199996,Consolidado,1025,,
PAT-89,-8.066977131999977,-79.02839335999994,Consolidado,1026,,
PAT-9,-8.06459741499998,-79.00344010699996,Consolidado,946,,
PAT-90,-8.064148604999957,-79.02724761499996,Consolidado,1027,,
PAT-91,-8.063724355999966,-79.02420789499996,Consolidado,1028,,
PAT-92,-8.063671356999976,-79.02419210799997,Consolidado,1029,,
PAT-93,-8.06528657299998,-79.02222331099995,Consolidado,1030,,
PAT-94,-8.06530320099995,-79.02233606899995,Consolidado,1031,,
PAT-95,-8.066081334999978,-79.01499563599998,Consolidado,1032,,
PAT-96,-8.065621538999949,-79.02031361899998,Consolidado,1033,,
PAT-97,-8.065687632999925,-79.02033240899993,Consolidado,1034,,
PAT-98,-8.06510381399994,-79.01766596599998,Consolidado,1035,,
PAT-99,-8.065179284999942,-79.01766273199996,Consolidado,1036,,
PE-1,-8.051992577999954,-79.05901765099998,Consolidado,1095,,
PE-10,-8.053387202999943,-79.07896833499996,Consolidado,1104,,
PE-100,-8.051591191999933,-79.05474847399995,Consolidado,1194,,
PE-101,-8.050712415999953,-79.05194078699998,Consolidado,1195,,
PE-102,-8.04932211299996,-79.05012206299995,Consolidado,1196,,
PE-103,-8.050096443999962,-79.05117566299998,Consolidado,1197,,
PE-104,-8.047901864999972,-79.05269459699997,Consolidado,1198,,
PE-105,-8.045922023999935,-79.05246547099995,Consolidado,1199,,
PE-106,-8.043770613999925,-79.05161701599997,Consolidado,1200,,
PE-107,-8.045844531999933,-79.05005859999994,Consolidado,1201,,
PE-108,-8.047836054999948,-79.04966256399996,Consolidado,1202,,
PE-109,-8.053120391999926,-79.05011229399997,Consolidado,1203,,
PE-11,-8.047510072999955,-79.06875001599997,Consolidado,1105,,
PE-110,-8.051748617999976,-79.05492108199996,Consolidado,1204,,
PE-111,-8.050789203999955,-79.05186037899995,Consolidado,1205,,
PE-112,-8.049343918999966,-79.05004409499998,Consolidado,1206,,
PE-113,-8.047786826999925,-79.04942794299996,Consolidado,1207,,
PE-114,-8.045493055999941,-79.05022412699998,Consolidado,1208,,
PE-115,-8.04376323699995,-79.05148155999996,Consolidado,1209,,
PE-116,-8.045900753999945,-79.05243913399994,Consolidado,1210,,
